borrowing_id,member_id,book_id,issue_date,due_date,return_date
301,201,101,1/5/2026,1/19/2026,1/18/2026
302,202,103,1/8/2026,1/22/2026,1/20/2026
303,203,105,1/10/2026,1/24/2026,
304,201,107,1/15/2026,1/29/2026,1/28/2026
305,204,101,2/1/2026,2/15/2026,2/14/2026
306,205,112,2/5/2026,2/19/2026,
307,201,114,2/10/2026,2/24/2026,2/22/2026
308,206,103,2/12/2026,2/26/2026,2/25/2026
309,207,105,2/15/2026,3/1/2026,
310,202,101,2/18/2026,3/4/2026,3/3/2026
311,208,111,2/20/2026,3/6/2026,3/5/2026
312,203,103,2/22/2026,3/8/2026,
313,204,107,3/1/2026,3/15/2026,3/14/2026
314,205,105,3/5/2026,3/19/2026,
315,201,103,3/8/2026,3/22/2026,3/20/2026
316,206,114,3/10/2026,3/24/2026,
317,209,113,3/12/2026,3/26/2026,3/25/2026
318,210,115,3/15/2026,3/29/2026,3/28/2026
319,202,105,3/18/2026,4/1/2026,
320,203,101,3/20/2026,4/3/2026,4/2/2026
